id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,BuildingType,StructureType,OccupancyClass_Actual,NightPopulation,DayPopulation,geometry,OccupancyClass,DesignLevel,HeightClass
35986,37.65268700000001,-122.035745,2820.0,1,1983,630274.534,420183.023,W,W1,RES1,4,3,POINT (-122.035745 37.65268700000001),RES1,High-Code,
35987,37.652973,-122.03555700000001,2650.0,1,1983,607531.527,405021.018,W,W1,RES1,4,3,POINT (-122.03555700000001 37.652973),RES1,High-Code,
35988,37.653332,-122.036862,2650.0,1,1983,607531.527,405021.018,M,RM1,RES1,2,1,POINT (-122.036862 37.653332),RES1,High-Code,Low-Rise
35989,37.653355,-122.035845,2597.0,1,1983,600166.012,400110.675,M,RM1,RES1,3,1,POINT (-122.035845 37.653355),RES1,High-Code,Low-Rise
35990,37.653517,-122.036417,1386.0,1,1983,411431.956,274287.971,W,W1,RES1,4,2,POINT (-122.036417 37.653517),RES1,High-Code,
35991,37.65361500000001,-122.03615500000001,2650.0,1,1983,607531.527,405021.018,M,RM1,RES1,2,1,POINT (-122.03615500000001 37.65361500000001),RES1,High-Code,Low-Rise
35992,37.65369499999999,-122.035928,1946.0,1,1983,507819.04500000004,338546.03,W,W1,RES1,2,1,POINT (-122.035928 37.65369499999999),RES1,High-Code,
35993,37.654985999999994,-122.037516,1283.90098,1,1983,754766.9,301906.76,C,PC1,IND2,0,0,POINT (-122.037516 37.654985999999994),IND2,High-Code,
35994,37.65319399999999,-122.035202,1325.0,2,1983,606507.885,404338.59,M,RM1,RES1,4,3,POINT (-122.035202 37.65319399999999),RES1,High-Code,Low-Rise
35995,37.653468,-122.03562999999998,1325.0,2,1983,606507.885,404338.59,M,RM1,RES1,2,1,POINT (-122.03562999999998 37.653468),RES1,High-Code,Low-Rise
35996,37.653780000000005,-122.03570799999999,2650.0,1,1983,607531.527,405021.018,W,W1,RES1,2,1,POINT (-122.03570799999999 37.653780000000005),RES1,High-Code,
35997,37.654746,-122.036379,1946.0,1,1983,507819.04500000004,338546.03,M,RM1,RES1,5,4,POINT (-122.036379 37.654746),RES1,High-Code,Low-Rise
