id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,StructureType,BuildingType,OccupancyClass_Actual,NumberOfUnits,NightPopulation,DayPopulation,CensusBlock,CensusTract,FootprintID,geometry,OccupancyClass,DesignLevel,HeightClass
32596,37.65094179171483,-122.09265435611587,1375.0,1.0,1976.0,291061.98,194041.32,W1,W,RES1,1.0,2.0,0.0,60014368001007,6001436800,35952,POINT (-122.09265435611587 37.65094179171483),RES1,High-Code,
32597,37.686580141555275,-122.05837444332047,867.0,1.0,1971.0,299579.00560000003,199719.337,W1,W,RES1,1.0,2.0,1.0,60014352001025,6001435200,35953,POINT (-122.05837444332047 37.686580141555275),RES1,Moderate-Code,
32598,37.61390464852365,-122.02969473521296,1605.0,2.0,1958.0,644282.592,429521.728,W1,W,RES1,1.0,2.0,2.0,60014381005001,6001438100,35954,POINT (-122.02969473521296 37.61390464852365),RES1,Moderate-Code,
32599,37.631869736978835,-122.0719176788771,1080.0,1.0,1976.0,199246.31399999998,132830.876,W1,W,RES1,1.0,8.0,5.0,60014377013003,6001437701,35955,POINT (-122.0719176788771 37.631869736978835),RES1,High-Code,
32600,37.633965748632825,-122.0623957280955,1115.0,1.0,1972.0,236455.5076,157637.005,W1,W,RES1,1.0,3.0,2.0,60014382042003,6001438204,35956,POINT (-122.0623957280955 37.633965748632825),RES1,Moderate-Code,
32601,37.66017803818226,-122.04906638181662,1036.0,1.0,1988.0,328056.54,218704.36,W1,W,RES1,1.0,2.0,1.0,60014351021006,6001435102,35957,POINT (-122.04906638181662 37.66017803818226),RES1,High-Code,
32602,37.66011031132761,-122.04927136861586,1240.5,2.0,1988.0,551919.915,367946.61,W1,W,RES1,1.0,2.0,1.0,60014351021006,6001435102,35958,POINT (-122.04927136861586 37.66011031132761),RES1,High-Code,
32603,37.64760617932227,-122.03690396422786,1084.0,2.0,1980.0,542536.872,361691.248,W1,W,RES1,1.0,3.0,2.0,60014351031053,6001435103,35960,POINT (-122.03690396422786 37.64760617932227),RES1,High-Code,
32604,37.65206261091667,-122.0730538243685,1245.0,1.0,1959.0,251953.25410000002,167968.836,W1,W,RES1,1.0,5.0,3.0,60014366013009,6001436601,35961,POINT (-122.0730538243685 37.65206261091667),RES1,Moderate-Code,
32605,37.65216789659839,-122.07317933735257,1704.0,1.0,1959.0,431477.107,287651.405,W1,W,RES1,1.0,3.0,1.0,60014366013009,6001436601,35962,POINT (-122.07317933735257 37.65216789659839),RES1,Moderate-Code,
32606,37.64352814079334,-122.10160911034137,2214.0,1.0,1958.0,510106.858,340071.239,W1,W,RES1,1.0,4.0,3.0,60014370002007,6001437000,35963,POINT (-122.10160911034137 37.64352814079334),RES1,Moderate-Code,
32607,37.62810080317502,-122.08956447580995,1371.0,1.0,1956.0,265441.0395,176960.693,W1,W,RES1,1.0,4.0,0.0,60014383002002,6001438300,35964,POINT (-122.08956447580995 37.62810080317502),RES1,Moderate-Code,
32608,37.65043676328616,-122.03953921620942,1845.0,1.0,1983.0,491539.94700000004,327693.298,W1,W,RES1,1.0,4.0,3.0,60014351022006,6001435102,35965,POINT (-122.03953921620942 37.65043676328616),RES1,High-Code,
32609,37.65033406397044,-122.03947169894931,909.5,2.0,1983.0,469365.736,312910.491,W1,W,RES1,1.0,4.0,2.0,60014351022006,6001435102,35966,POINT (-122.03947169894931 37.65033406397044),RES1,High-Code,
32610,37.64961903517214,-122.10024051591505,1615.0,1.0,1960.0,547858.219,365238.813,W1,W,RES1,1.0,1.0,0.0,60014370001003,6001437000,35967,POINT (-122.10024051591505 37.64961903517214),RES1,Moderate-Code,
32611,37.6790219992733,-122.0651745025411,921.0,1.0,1964.0,422732.8714,281821.914,W1,W,RES3A,2.0,5.0,3.0,60014353002014,6001435300,35968,POINT (-122.0651745025411 37.6790219992733),RES3,Moderate-Code,
32612,37.679130256813316,-122.06526653617824,995.987,1.0,1964.0,355331.914,236887.943,W1,W,RES3A,2.0,2.0,1.0,60014353002014,6001435300,35969,POINT (-122.06526653617824 37.679130256813316),RES3,Moderate-Code,
32613,37.673451250813606,-122.09087571968722,4216.62,1.0,1971.0,1251751.048,834500.699,W1,W,RES3A,2.0,4.0,3.0,60014354003004,6001435400,35970,POINT (-122.09087571968722 37.673451250813606),RES3,Moderate-Code,
32614,37.666334102469655,-122.08466417407561,966.64,1.0,1991.0,345019.222,230012.815,W1,W,RES3A,2.0,4.0,2.0,60014363002016,6001436300,35971,POINT (-122.08466417407561 37.666334102469655),RES3,High-Code,
32615,37.66644274281917,-122.08470319151579,880.855,1.0,1991.0,314725.686,209817.124,W1,W,RES3A,2.0,2.0,0.0,60014363002016,6001436300,35972,POINT (-122.08470319151579 37.66644274281917),RES3,High-Code,
32616,37.666237963514206,-122.08458596713167,715.412,1.0,1991.0,255613.61700000003,170409.078,W1,W,RES3A,2.0,4.0,2.0,60014363002016,6001436300,35973,POINT (-122.08458596713167 37.666237963514206),RES3,High-Code,
32617,37.66654669143489,-122.08481942303335,1038.98,1.0,1991.0,367312.939,244875.293,W1,W,RES3A,2.0,2.0,1.0,60014363002016,6001436300,35974,POINT (-122.08481942303335 37.66654669143489),RES3,High-Code,
