id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,StructureType,BuildingType,OccupancyClass_Actual,NumberOfUnits,CensusBlock,CensusTract,FootprintID,geometry,OccupancyClass,DesignLevel,HeightClass
10,37.64683854259294,-122.09427567169297,1997.168436965404,1.0,1958.0,510955.572913229,340637.0486088193,W1,W,RES1,1.0,60014368002002.0,6001436800.0,1576.0,POINT (-122.09427567169297 37.64683854259294),RES1,Moderate-Code,
11,37.64084121018916,-122.13269745382183,8229.0,1.0,1981.0,1672173.9449999998,1114782.63,RM1,M,IND2,1.0,60014371014038.0,6001437101.0,27297.0,POINT (-122.13269745382183 37.64084121018916),IND2,High-Code,Low-Rise
12,37.62672680725694,-122.0630311627704,1200.0,2.0,2002.0,614016.0,409344.0,W1,W,RES1,1.0,60014382041016.0,6001438204.0,8063.0,POINT (-122.0630311627704 37.62672680725694),RES1,High-Code,
13,37.634906029459856,-122.08854446864957,1119.0,1.0,1957.0,286284.96,190856.64,W1,W,RES1,1.0,60014373002005.0,6001437300.0,29264.0,POINT (-122.08854446864957 37.634906029459856),RES1,Moderate-Code,
14,37.63120751315309,-122.06143410996825,86.36815853960059,1.0,1964.0,9576.501418870914,6384.334279247276,MH,H,RES2,2.0,60014382041005.0,6001438204.0,2173.0,POINT (-122.06143410996825 37.63120751315309),RES2,Moderate-Code,
15,37.66453382999304,-122.07943626858884,961.9925497909753,1.5,1928.0,369174.2609077847,246116.17393852313,W1,W,RES1,1.0,60014365001005.0,6001436500.0,31579.0,POINT (-122.07943626858884 37.66453382999304),RES1,Moderate-Code,
16,37.67976860714153,-122.08756848333553,2094.0,2.0,1968.0,743160.6,495440.39999999997,W1,W,RES3B,4.0,60014355002007.0,6001435500.0,7649.0,POINT (-122.08756848333553 37.67976860714153),RES3,Moderate-Code,
17,37.64283541169463,-122.1166020582004,828.6610309288503,2.0,1991.0,424009.27630567417,282672.85087044945,W1,W,RES1,1.0,60014372004003.0,6001437200.0,31452.0,POINT (-122.1166020582004 37.64283541169463),RES1,High-Code,
18,37.63243431547939,-122.04395268239597,1059.3333333333333,1.5,1988.0,406529.76,271019.84,W1,W,RES1,1.0,60014351042000.0,6001435104.0,5944.0,POINT (-122.04395268239597 37.63243431547939),RES1,High-Code,
19,37.633095309091686,-122.07168678123332,1080.0,1.0,1968.0,276307.19999999995,184204.8,W1,W,RES1,1.0,60014377012002.0,6001437701.0,14103.0,POINT (-122.07168678123332 37.633095309091686),RES1,Moderate-Code,
20,37.62233676179632,-122.06883333434264,2027.82616462,1.0,1963.0,224845.3651330656,149896.9100887104,MH,H,RES2,1.0,60014382031033.0,6001438203.0,5108.0,POINT (-122.06883333434264 37.62233676179632),RES2,Moderate-Code,
21,37.62865318159661,-122.06869350594431,1087.0,1.0,1983.0,278098.08,185398.72,W1,W,RES1,1.0,60014382032015.0,6001438203.0,33453.0,POINT (-122.06869350594431 37.62865318159661),RES1,High-Code,
22,37.61613583731035,-122.08924964202131,304063.79427853494,1.0,2010.0,61787283.3163697,41191522.21091313,RM1,M,COM2,2.0,60014371011039.0,6001437101.0,23679.0,POINT (-122.08924964202131 37.61613583731035),COM2,High-Code,Low-Rise
23,37.65269457692661,-122.06681756371447,1536.0,1.0,1959.0,392970.24,261980.16,W1,W,RES1,1.0,60014365002010.0,6001436500.0,32953.0,POINT (-122.06681756371447 37.65269457692661),RES1,Moderate-Code,
24,37.619732608803616,-122.074670628869,20.169855476971687,1.0,1970.0,2236.433575286621,1490.9557168577471,MH,H,RES2,1.0,60014382012002.0,6001438201.0,15746.0,POINT (-122.074670628869 37.619732608803616),RES2,Moderate-Code,
25,37.64163686806776,-122.05982596388988,904.0,1.0,1925.0,231279.36,154186.24,W1,W,RES1,1.0,60014379001010.0,6001437900.0,36761.0,POINT (-122.05982596388988 37.64163686806776),RES1,Moderate-Code,
