id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,StructureType,BuildingType,OccupancyClass,OccupancyClass_Actual,NumberOfUnits,CensusBlock,CensusTract,FootprintID,geometry,DesignLevel,HeightClass
37,37.68158575670387,-122.0879633975462,528.3614478971183,1.0,1956.0,105891.55958030098,70594.37305353399,RM2,M,COM1,COM1,1.0,60014355002007.0,6001435500.0,5152.0,POINT (-122.0879633975462 37.68158575670387),Moderate-Code,Low-Rise
38,37.659509720198294,-122.1023808611299,1041.0,1.0,1950.0,266329.44,177552.96,W1,W,RES1,RES1,1.0,60014367002009.0,6001436700.0,20504.0,POINT (-122.1023808611299 37.659509720198294),Moderate-Code,
39,37.645827693449064,-122.00075057613668,955.0,3.0,2021.0,732981.6000000001,488654.4,W1,W,RES1,RES1,1.0,60014351034000.0,6001435103.0,37406.0,POINT (-122.00075057613668 37.645827693449064),High-Code,
40,37.633429145368765,-122.07339883464113,2862.9499333173094,2.0,2009.0,1016060.9313343131,677373.9542228754,W1,W,RES1,RES3B,3.0,60014377013000.0,6001437701.0,12637.0,POINT (-122.07339883464113 37.633429145368765),High-Code,
41,37.65684773622596,-122.112251098135,1024.0,1.0,1951.0,261980.16,174653.44,W1,W,RES1,RES1,1.0,60014369003000.0,6001436900.0,3768.0,POINT (-122.112251098135 37.65684773622596),Moderate-Code,
42,37.62161099733479,-122.07165269060245,2525.3899542,1.0,1982.0,280015.238121696,186676.825414464,MH,H,RES2,RES2,1.0,60014382031027.0,6001438203.0,10659.0,POINT (-122.07165269060245 37.62161099733479),High-Code,
43,37.64066319802784,-122.08697270015936,1047.0,1.0,1953.0,267864.48,178576.32,W1,W,RES1,RES1,1.0,60014374002012.0,6001437400.0,14284.0,POINT (-122.08697270015936 37.64066319802784),Moderate-Code,
44,37.61927758427231,-122.03178058168977,1175.0,1.0,1956.0,300612.0,200408.0,W1,W,RES1,RES1,1.0,60014380002007.0,6001438000.0,6236.0,POINT (-122.03178058168977 37.61927758427231),Moderate-Code,
45,37.63777994303233,-122.13125279838991,3434.6953671639862,1.0,1974.0,697947.2720845578,465298.1813897052,S3,S,IND6,IND6,1.0,60014371014037.0,6001437101.0,14486.0,POINT (-122.13125279838991 37.63777994303233),Moderate-Code,
46,37.6580456418364,-122.08478408253582,1393.0,1.0,1950.0,356385.12,237590.08000000002,W1,W,RES1,RES1,1.0,60014366011005.0,6001436601.0,20047.0,POINT (-122.08478408253582 37.6580456418364),Moderate-Code,
47,37.654304467755864,-122.09894470391119,1904.0,1.0,1957.0,487119.36,324746.24,W1,W,RES1,RES1,1.0,60014368002013.0,6001436800.0,27885.0,POINT (-122.09894470391119 37.654304467755864),Moderate-Code,
48,37.662046352061346,-122.10084861883,1400.8248534396448,1.0,1959.0,248576.37024286497,165717.58016190998,W1,W,RES1,RES3B,3.0,60014367001008.0,6001436700.0,20921.0,POINT (-122.10084861883 37.662046352061346),Moderate-Code,
49,37.66284508978421,-122.1090830863968,1712.0,1.0,1925.0,437998.0800000001,291998.72000000003,W1,W,RES1,RES1,1.0,60014369001004.0,6001436900.0,3357.0,POINT (-122.1090830863968 37.66284508978421),Moderate-Code,
